FEN,firstMove,secondMove, whoFirst
2k2r2/6q1/1Pp4p/Q2b1p2/3p3B/5PP1/4r2P/2R3K1, Bxf3, Qa8+, white
2kr3r/ppp2ppp/3p1q2/2b1p1N1/2PnP1b1/3P4/PP1Q1PPP/R1B1KB1R, b4, Bxb4, white
2r1k2r/2q1bppp/p2p4/1b1Pp3/1p3P2/1P1Q4/P1PBB1PP/R4RK1, c4, bxc3, white
6k1/p1p2r2/4R2p/2b1p1p1/4Pp2/2N2P2/2P2rPP/4R1K1, Kh1, Bb4, white
r7/p1P2ppk/3r2bp/2qR4/1pP1p1P1/1P2B2P/2P1KP2/Q6R, Qxc7, Bf4, white
3r3r/p1pk2pp/2p2b2/8/1Q1p1B2/5N2/q1P2PPP/1R4K1, Nxd4, Rb8, white
2k2r2/6q1/1Pp4p/Q2b1p2/3p3B/5PP1/4r2P/2R3K1, Bxf3, Qa8+, white
2kr3r/ppp2ppp/3p1q2/2b1p1N1/2PnP1b1/3P4/PP1Q1PPP/R1B1KB1R, b4, Bxb4, white
2r1k2r/2q1bppp/p2p4/1b1Pp3/1p3P2/1P1Q4/P1PBB1PP/R4RK1, c4, bxc3, white
6k1/p1p2r2/4R2p/2b1p1p1/4Pp2/2N2P2/2P2rPP/4R1K1, Kh1, Bb4, white
r7/p1P2ppk/3r2bp/2qR4/1pP1p1P1/1P2B2P/2P1KP2/Q6R, Qxc7, Bf4, white
3r3r/p1pk2pp/2p2b2/8/1Q1p1B2/5N2/q1P2PPP/1R4K1, Nxd4, Rb8, white
2k2r2/6q1/1Pp4p/Q2b1p2/3p3B/5PP1/4r2P/2R3K1, Bxf3, Qa8+, white
2kr3r/ppp2ppp/3p1q2/2b1p1N1/2PnP1b1/3P4/PP1Q1PPP/R1B1KB1R, b4, Bxb4, white
2r1k2r/2q1bppp/p2p4/1b1Pp3/1p3P2/1P1Q4/P1PBB1PP/R4RK1, c4, bxc3, white
6k1/p1p2r2/4R2p/2b1p1p1/4Pp2/2N2P2/2P2rPP/4R1K1, Kh1, Bb4, white
r7/p1P2ppk/3r2bp/2qR4/1pP1p1P1/1P2B2P/2P1KP2/Q6R, Qxc7, Bf4, white
3r3r/p1pk2pp/2p2b2/8/1Q1p1B2/5N2/q1P2PPP/1R4K1, Nxd4, Rb8, white
7R/5k2/P6p/1P3pp1/4p3/8/3K1P1P/r7, f4, a7, black
3r4/p4k1p/2B2pp1/1P6/5n2/2K3P1/P4P1P/4R3, Nd3, Rd1, black
