r2qk2r/ppp2p1p/n2b1np1/3pp3/4P1b1/1PNBQ2N/PBPP1PPP/R3K2R b KQkq - 1 1,r2qk2r/ppp2p1p/n2b1np1/4p3/3pP1b1/1PNBQ2N/PBPP1PPP/R3K2R w KQkq - 0 2
rnb1kb1r/p1p2ppp/1p2p3/8/3P4/3B2N1/PPP2PqP/R2QK1NR w KQkq - 0 2,rnb1kb1r/p1p2ppp/1p2p3/8/3PB3/6N1/PPP2PqP/R2QK1NR b KQkq - 1 2
r1b2rk1/pp1p1ppp/2pb1n2/8/4P3/q1NB2Q1/P1PB1PPP/1R2R1K1 w KQkq - 1 2,r1b2rk1/pp1p1ppp/2pb1n2/4P3/8/q1NB2Q1/P1PB1PPP/1R2R1K1 b KQkq - 0 2
r1b2rk1/pp2bppp/4q3/4p3/3pQ1B1/P2P3P/1PPB1PP1/R3K2R b KQkq - 1 1,r1b2rk1/pp2b1pp/4q3/4pp2/3pQ1B1/P2P3P/1PPB1PP1/R3K2R w KQkq - 0 2
r1b2rk1/ppp3bp/2n1p1p1/3p1n2/2PP1P1q/PP2P3/4KNP1/RNBQ1B1R b KQkq - 1 1,r1b2rk1/ppp3bp/2n1p1p1/3p4/2PP1P1q/PP2P1n1/4KNP1/RNBQ1B1R w KQkq - 2 2
r2qkbnr/ppp2p1p/2npb3/6p1/3PPp2/1B3N2/PPP3PP/RNBQK2R w KQkq - 0 2,r2qkbnr/ppp2p1p/2npb3/3P2p1/4Pp2/1B3N2/PPP3PP/RNBQK2R b KQkq - 0 2
r4rk1/pbp2ppp/1p1b1q1n/3pn3/3P1B2/2P3P1/PP1N1PBP/R2QR1K1 w KQkq - 0 2,r4rk1/pbp2ppp/1p1b1q1n/3pP3/5B2/2P3P1/PP1N1PBP/R2QR1K1 b KQkq - 0 2
6k1/8/b1p2pp1/3N4/6qP/Pr1P4/1P1B4/2KR3R w KQk - 0 2,6k1/8/b1p2Np1/8/6qP/Pr1P4/1P1B4/2KR3R b KQk - 0 2
r1b2rk1/ppppqpp1/2n3np/4P3/1b2Q3/2NBBN2/PPP2PPP/2KR3R w KQkq - 1 2,r1b2rk1/ppppqpp1/2n3np/3NP3/1b2Q3/3BBN2/PPP2PPP/2KR3R b KQkq - 2 2
rnbqk2r/ppp1ppbp/6p1/1B2n3/8/3P1Q2/PPP3PP/RNB1K1NR b KQkq - 1 1,rnbqk2r/pp2ppbp/2p3p1/1B2n3/8/3P1Q2/PPP3PP/RNB1K1NR w KQkq - 0 2
5rk1/2p3pp/1p3p2/4n3/5B2/r1P1K1P1/PRP4P/3R4 b kq - 1 1,5rk1/2p3pp/1p3p2/8/2n2B2/r1P1K1P1/PRP4P/3R4 w kq - 2 2
3n4/p4n2/1pk1p1r1/1p1pp3/1P2P3/2NPNR2/PKP5/8 b Kk - 1 1,3n4/p4n2/1pk1p1r1/1p2p3/1P1pP3/2NPNR2/PKP5/8 w Kk - 0 2
r1bqk2r/pppp1ppp/1bn2n2/4p1N1/1PB1P3/8/P1PP1PPP/RNBQK2R w KQkq - 1 2,r1bqk2r/pppp1Npp/1bn2n2/4p3/1PB1P3/8/P1PP1PPP/RNBQK2R b KQkq - 0 2
r7/pr3k2/1nR5/1N3bp1/1P4p1/8/PR3PP1/6K1 w K - 1 2,r7/pr3k2/1nRN4/5bp1/1P4p1/8/PR3PP1/6K1 b K - 2 2
rnn1r3/p3bk1p/1pp3pB/2PqPp2/2BP4/2N5/PP3P1P/R4RK1 w KQeq - 1 2,rnn1r3/p3bk1p/1pp3pB/2PNPp2/2BP4/8/PP3P1P/R4RK1 b KQeq - 0 2
